time,x_in,y_out,d_in,err,w0,w1,w2,w3
30000,     0,     0,     0,     0,     0,     0,     0,     0
40000,  1266,     0,     0,     0,     0,     0,     0,     0
50000,  2408,     0,  1266,  1266,     0,     0,     0,     0
60000,  3314,   415,  2408,  2408,   372,   195,     0,     0
70000,  3896,  2228,  3314,  2899,  1346,   902,   372,     0
80000,  4096,  5950,  3896,  1668,  2724,  2074,  1224,   448
90000,  3896,  8815,  4096, -1854,  3558,  2867,  1898,   938
100000,  3314,  5204,  3896, -4919,  2676,  1940,  1016,   187
110000,  2408, -3447,  3314, -1890,   686,  -400, -1444, -2153
120000,  1266, -5488,  2408,  5855,   130, -1165, -2343, -3098
130000,     0,   -68,  1266,  6754,  1034,   556,    25,  -314
140000, -1266,  1723,     0,    68,  1034,  1599,  2010,  2418
150000, -2408,  -343, -1266, -2989,  1023,  1599,  2020,  2437
160000, -3314, -3374, -2408, -2065,  1901,  2060,  2020,  1975
170000, -3896, -6745, -3314,    60,  2736,  2666,  2339,  1975
180000, -4096, -8253, -3896,  2849,  2707,  2641,  2321,  1965
190000, -3896, -4529, -4096,  4157,  1282,  1286,  1168,  1127
200000, -3314,  2655, -3896,   633,  -696,  -793,  -810,  -555
210000, -2408,  3375, -3314, -5969,  -953, -1095, -1127,  -857
220000, -1266, -4431, -2408, -5783,   801,  1319,  1711,  2127
230000,     0, -7260, -1266,  3165,  1694,  3018,  4050,  4877
240000,  1266, -2555,     0,  7260,  1694,  2528,  3119,  3596
250000,  2408,  1984,  1266,  3821,  2815,  2528,  1997,  1461
260000,  3314,  5636,  2408,   424,  3938,  3118,  1997,   870
270000,  3896,  8012,  3314, -2322,  4109,  3242,  2062,   870
280000,  4096,  6609,  3896, -4116,  3004,  2302,  1379,   511
290000,  3896,   405,  4096, -2513,   946,   344,  -287,  -699
300000,  3314, -4186,  3896,  3491,  -250,  -913, -1483, -1716
310000,  2408,  1480,  3314,  7500,  1162,   747,   262,   -56
320000,  1266,  9873,  2408,   928,  3366,  3781,  3828,  3694
330000,     0,  7069,  1266, -8607,  3509,  4053,  4203,  4135
340000, -1266,  -184,     0, -7069,  3509,  2722,  1673,   653
350000, -2408, -3987, -1266, -1082,  4601,  2722,   580, -1425
360000, -3314, -5858, -2408,  1579,  4919,  2889,   580, -1593
370000, -3896, -5737, -3314,  2544,  4280,  2424,   335, -1593
380000, -4096, -2894, -3896,  1841,  3070,  1394,  -413, -1987
390000, -3896,   585, -4096, -1202,  2149,   518, -1158, -2529
400000, -3314,  -735, -3896, -4481,  2720,  1119,  -587, -2043
410000, -2408, -6955, -3314, -2579,  4532,  3250,  1653,    88
420000, -1266, -7798, -2408,  4547,  5290,  4293,  2879,  1377
430000,     0,  -889, -1266,  6532,  4587,  2956,  1039,  -786
440000,  1266,  3706,     0,   889,  4587,  1946,  -882, -3429
450000,  2408,  4519,  1266, -2440,  4724,  1946, -1020, -3691
460000,  3314,  3847,  2408, -2111,  4006,  1568, -1020, -3314
470000,  3896,  1948,  3314,  -533,  3152,   947, -1347, -3314
480000,  4096,   379,  3896,  1948,  2898,   731, -1504, -3397
490000,  3896,  2373,  4096,  3717,  3872,  1657,  -716, -2825
500000,  3314,  7699,  3896,  1523,  5639,  3515,  1051, -1322
510000,  2408,  8232,  3314, -4385,  6255,  4239,  1812,  -598
520000,  1266,   107,  2408, -5824,  4966,  2465,  -274, -2791
530000,     0, -5814,  1266,  1159,  4065,   753, -2631, -5561
540000, -1266, -4959,     0,  5814,  4065,   932, -2291, -5093
550000, -2408, -3196, -1266,  3693,  3166,   932, -1393, -3385
560000, -3314, -1465, -2408,   788,  2080,   361, -1393, -2815
570000, -3896,   -19, -3314, -1849,  1761,   129, -1515, -2815
580000, -4096, -1200, -3896, -3877,  2640,   876,  -972, -2530
590000, -3896, -6515, -4096, -2896,  4578,  2719,   596, -1391
600000, -3314,-10546, -3896,  2619,  5955,  4167,  1973,  -220
610000, -2408, -4406, -3314,  7232,  4895,  2921,   663, -1466
620000, -1266,  6227, -2408,  1998,  2769,    -5, -2777, -5082
630000,     0,  7172, -1266, -7493,  2460,  -593, -3586, -6033
640000,  1266,  2952,     0, -7172,  2460,   564, -1384, -3002
650000,  2408,  1244,  1266, -1686,  1351,   564,  -276,  -894
660000,  3314,   784,  2408,  1164,   855,   303,  -276,  -634
670000,  3896,  1529,  3314,  2530,  1325,   645,   -97,  -634
680000,  4096,  4493,  3896,  2367,  2528,  1668,   646,  -244
690000,  3896,  8212,  4096,  -397,  3711,  2793,  1603,   451
700000,  3314,  7006,  3896, -4316,  3522,  2594,  1414,   290
710000,  2408,  -989,  3314, -3692,  1776,   541,  -744, -1763
720000,  1266, -5803,  2408,  3397,   690,  -953, -2500, -3609
730000,     0, -2262,  1266,  7069,  1214,    45, -1126, -1994
740000, -1266,   427,     0,  2262,  1214,  1137,   951,   865
750000, -2408,  -387, -1266, -1693,   864,  1137,  1300,  1529
760000, -3314, -2325, -2408, -2021,  1361,  1398,  1300,  1267
770000, -3896, -5023, -3314,  -989,  2178,  1992,  1612,  1267
780000, -4096, -7297, -3896,  1127,  2648,  2392,  1902,  1419
790000, -3896, -6094, -4096,  3201,  2084,  1856,  1446,  1087
800000, -3314,  -422, -3896,  2198,   561,   255,   -77,  -208
810000, -2408,  3205, -3314, -2892,  -329,  -791, -1176, -1254
820000, -1266,  -727, -2408, -5613,   521,   378,   199,   192
830000,     0, -4393, -1266,  -539,  1388,  2027,  2469,  2861
840000,  1266, -2194,     0,  4393,  1388,  2110,  2627,  3079
850000,  2408,  1314,  1266,  3460,  2066,  2110,  1948,  1787
860000,  3314,  4650,  2408,  1094,  3083,  2644,  1948,  1252
870000,  3896,  7383,  3314, -1336,  3525,  2965,  2117,  1252
880000,  4096,  7203,  3896, -3487,  2889,  2424,  1724,  1045
890000,  3896,  2167,  4096, -3107,  1145,   765,   313,    20
900000,  3314, -3362,  3896,  1729,  -333,  -789, -1165, -1237
910000,  2408,  -460,  3314,  6676,   366,    33,  -301,  -415
920000,  1266,  7431,  2408,  2868,  2328,  2733,  2874,  2923
930000,     0,  6944,  1266, -6165,  2771,  3576,  4034,  4286
940000, -1266,   883,     0, -6944,  2771,  2623,  2221,  1792
950000, -2408, -3148, -1266, -2149,  3844,  2623,  1147,  -250
960000, -3314, -5713, -2408,   740,  4475,  2955,  1147,  -583
970000, -3896, -6613, -3314,  2399,  4175,  2737,  1032,  -583
980000, -4096, -4417, -3896,  2717,  3034,  1766,   326,  -954
990000, -3896,    88, -4096,   321,  1675,   473,  -774, -1753
1000000, -3314,  1189, -3896, -3984,  1522,   312,  -927, -1883
1010000, -2408, -4651, -3314, -4503,  3133,  2206,  1065,    11
1020000, -1266, -8491, -2408,  2243,  4456,  4027,  3206,  2262
1030000,     0, -4960,          0,          0,  4456,  4027,  3206,  2262
1040000,  1266,  -944,          0,          0,  4456,  4027,  3206,  2262
1050000,  2408,  3165,          0,          0,  4456,  4027,  3206,  2262
1060000,  3314,  6963,          0,          0,  4456,  4027,  3206,  2262
1070000,  3896, 10080,          0,          0,  4456,  4027,  3206,  2262
1080000,  4096, 12210,          0,          0,  4456,  4027,  3206,  2262
1090000,  3896, 13145,          0,          0,  4456,  4027,  3206,  2262
1100000,  3314, 12793,          0,          0,  4456,  4027,  3206,  2262
1110000,  2408, 11189,          0,          0,  4456,  4027,  3206,  2262
1120000,  1266,  8490,          0,          0,  4456,  4027,  3206,  2262
1130000,     0,  4959,          0,          0,  4456,  4027,  3206,  2262
1140000, -1266,   943,          0,          0,  4456,  4027,  3206,  2262
1150000, -2408, -3166,          0,          0,  4456,  4027,  3206,  2262
1160000, -3314, -6964,          0,          0,  4456,  4027,  3206,  2262
1170000, -3896,-10081,          0,          0,  4456,  4027,  3206,  2262
1180000, -4096,-12211,          0,          0,  4456,  4027,  3206,  2262
1190000, -3896,-13146,          0,          0,  4456,  4027,  3206,  2262
1200000, -3314,-12794,          0,          0,  4456,  4027,  3206,  2262
1210000, -2408,-11190,          0,          0,  4456,  4027,  3206,  2262
1220000, -1266, -8491,          0,          0,  4456,  4027,  3206,  2262
1230000,     0, -4960,          0,          0,  4456,  4027,  3206,  2262
1240000,  1266,  -944,          0,          0,  4456,  4027,  3206,  2262
1250000,  2408,  3165,          0,          0,  4456,  4027,  3206,  2262
1260000,  3314,  6963,          0,          0,  4456,  4027,  3206,  2262
1270000,  3896, 10080,          0,          0,  4456,  4027,  3206,  2262
1280000,  4096, 12210,          0,          0,  4456,  4027,  3206,  2262
1290000,  3896, 13145,          0,          0,  4456,  4027,  3206,  2262
1300000,  3314, 12793,          0,          0,  4456,  4027,  3206,  2262
1310000,  2408, 11189,          0,          0,  4456,  4027,  3206,  2262
1320000,  1266,  8490,          0,          0,  4456,  4027,  3206,  2262
1330000,     0,  4959,          0,          0,  4456,  4027,  3206,  2262
1340000, -1266,   943,          0,          0,  4456,  4027,  3206,  2262
1350000, -2408, -3166,          0,          0,  4456,  4027,  3206,  2262
1360000, -3314, -6964,          0,          0,  4456,  4027,  3206,  2262
1370000, -3896,-10081,          0,          0,  4456,  4027,  3206,  2262
1380000, -4096,-12211,          0,          0,  4456,  4027,  3206,  2262
1390000, -3896,-13146,          0,          0,  4456,  4027,  3206,  2262
1400000, -3314,-12794,          0,          0,  4456,  4027,  3206,  2262
1410000, -2408,-11190,          0,          0,  4456,  4027,  3206,  2262
1420000, -1266, -8491,          0,          0,  4456,  4027,  3206,  2262
1430000,     0, -4960,          0,          0,  4456,  4027,  3206,  2262
1440000,  1266,  -944,          0,          0,  4456,  4027,  3206,  2262
1450000,  2408,  3165,          0,          0,  4456,  4027,  3206,  2262
