time,x_in,y_out,d_in,err,w0,w1,w2,w3
190000,    0,     0,    0,     0,     0,     0,     0,     0
350000, 1266,     0,    0,     0,     0,     0,     0,     0
510000, 2408,     0, 1266,   496,   777,   430,   547,   491
670000, 3314,  1611, 2408,  -369,   535,   520,  1765,  -513
830000, 3896, -9400, 3314,  7325,   638,-12990,-25166, 31200
990000, 4096,  5445, 3896,-31960, 10190,  9230,  4418, -8218
1150000, 3896,-24684, 4096, 20430,  3874, -2945,  1618, 12934
1310000, 3314,  9310, 3896, -1132, 22724, 23624, 16289, 24260
1470000, 2408, 21835, 3314,-30857, -4849,  1034,  3442,   968
1630000, 1266,  3188, 2408,   235,  2322,  2712,   242,  2069
1790000,    0,   686, 1266,  1266,  2524,  2824,   423,  2301
1950000,-1266, -1528,    0,  2010,   950,  1084, -1202,   811
2110000,-2408,   184,-1266,  -647,   934,  1039,  -918,  1215
2270000,-3314, -1436,-2408,   161,   728,   992,   404,   308
2430000,-3896,  9814,-3314,-10481,  2704,-15650,-24817,  3468
2590000,-4096, -3041,-3896,-28182, 21363, -1034, -9009,-26306
2750000,-3896, 19246,-4096, -5037, -9856,-14699,-10404, 30684
2910000,-3314,-24015,-3896,-19584,  5018,  7381,  6435, 10372
3070000,-2408,-22315,-3314,-27727,  9040, 11854,  9639, 17119
3230000,-1266,-21089,-2408,  6490,  -882,  6439,   834,  3180
3390000,    0,  -921,-1266, -1266, -1748,  5996,   514,  2997
3550000, 1266,  1341,    0, -2087, -3065,  4485, -1102,  1455
3710000, 2408,   194, 1266,   -75, -3211,  4457,  -824,  1732
3870000, 3314,  2269, 2408, -1236, -3651,  5200,   -38,   233
4030000, 3896, -8354, 3314, -5097,-11124,  3713, -1000,  8795
4190000, 4096,   426, 3896, 13028,-11905,-28898,-26773, 24200
4350000, 3896,  9753, 4096,  2505,-16793,-10827,-31346, 26666
4510000, 3314, -2582, 3896,-23017,-15325,-16549,-29638,-15591
4670000, 2408,   739, 3314,-27985, 11160, 30564,-31074, 23596
4830000, 1266,-29144, 2408,-30593, 23839, 20987,  7118, 10981
4990000,    0,  2130, 1266,  1266,  -166,  6226,  -941,  6776
5150000,-1266, -1406,    0,  3240, -2009,  3939, -3401,  4398
5310000,-2408,   648,-1266,    69, -2660,  3438, -3262,  4649
5470000,-3314, -1614,-2408,  1271, -3270,  4012, -1818,  2525
5630000,-3896, 16529,-3314, -2532, 22288, 28162, -3780, 17622
5790000,-4096, 10763,-3896,-10962, 14227, 32509,-24610, -7756
5950000,-3896, 20145,-4096, 16994, -9774, -4303, 12532, 25959
6110000,-3314,-20083,-3896, 22355,-29834,-22409,-24282,-24684
6270000,-2408, 25396,-3314, 19521, -6658, -5736,-13734, -8853
6430000,-1266, 15505,-2408, -7765,  1268,   834, -3174,  5571
6590000,    0, -1833,-1266, -1266,  2824,  1657, -2598,  5979
6750000, 1266,   316,    0, -1974,  1441,    51, -4110,  4541
6910000, 2408, -1262, 1266,   570,  1375,  -271, -3818,  4989
7070000, 3314,   650, 2408,  -325,   916,  -461, -1671,  3181
7230000, 3896,-20607, 3314, 18990,  4348,   366,-15799,-23140
7390000, 4096, 24052, 3896,  -602, 10292, 10597, 24767,-20934
7550000, 3896,-23564, 4096,-20261, 18711, 31601, 30880,-26865
7710000, 3314, -2004, 3896,   536, 23355, 17244, 23436, 19936
7870000, 2408, -8570, 3314, 15215,-27954, 23150, 26796, 27696
8030000, 1266, -8266, 2408, 18761,-27918, 30966, 27922,-27489
8190000,    0, -8462, 1266,  1266,-29835, 31291, 29226,-27395
8350000,-1266,-10183,    0,  1659,-30650, 30849, 27673,-28821
8510000,-2408, 26460,-1266, 30792,-31688, 23033, 25837,-29456
8670000,-3314,-14418,-2408, -4991, 26377, 32160,-25740,-30891
8830000,-3896,-18271,-3314,-21411, 11149,   261,  6005,-27632
8990000,-4096, 29461,-3896,-21593,  4253,-10621, 29292,-23317
9150000,-3896,  9714,-4096, 20849,  -856,   970,-19849,-22379
9310000,-3314,-21331,-3896,-20588, 12536,  5348,  3005,  8199
9470000,-2408,-14949,-3314, 27393,  1114,   459, -3686,  3339
9630000,-1266, -4259,-2408,   516,  7108,  2831, -6430,  4322
9790000,    0, -1440,-1266, -1266,  7081,  2819, -6098,  4953
9950000, 1266,   784,    0, -1885,  5205,   765, -7829,  3569
10110000, 2408, -1518, 1266,  1927,  5366,   528, -7647,  4242
10270000, 3314,  -139, 2408,  1701,  5508,  -826, -5331,  4224
10430000, 3896,-13727, 3314,-26482, -6801,-26634, 16399, 12404
10590000, 4096,-31247, 3896,-27508,-17063,  1337,-19036,-25342
10750000, 3896,-25509, 4096,-30630,  3152,-11747,-31302, -6694
